tconst,averageRating,numVotes
tt0011216,6.9,29
tt0015414,5.4,14
tt0035423,6.4,81484
tt0036177,7.3,105
tt0062336,6.3,153
tt0069049,6.8,6872
tt0093119,3.3,800
tt0100275,6.5,317
tt0104988,8.4,8
tt0109173,7.8,29
tt0110476,6.6,599
tt0113026,5.6,1356
tt0115686,6.4,30
tt0116391,6.2,235
tt0116628,6.3,61
tt0118141,5.6,892
tt0118589,2.3,23254
tt0118652,5.0,1771
tt0118694,8.1,137105
tt0118852,7.1,4144
tt0118911,5.5,188
tt0118926,6.9,6546
tt0119004,5.7,4299
tt0119273,5.4,8128
tt0119727,5.2,101
tt0119866,5.5,86
tt0119966,6.6,8
tt0119970,3.9,122
tt0119980,6.5,74
tt0120117,4.6,453
tt0120202,6.8,20973
tt0120263,7.6,18536
tt0120454,7.3,448
tt0120467,5.2,4065
tt0120626,7.1,3089
tt0120630,7.0,183387
tt0120667,5.7,319128
tt0120679,7.4,85464
tt0120681,6.8,150764
tt0120698,4.4,352
tt0120733,5.6,343
tt0120737,8.8,1734311
tt0120753,5.9,21302
tt0120755,6.1,325954
tt0120804,6.7,257535
tt0120824,6.7,32537
tt0120903,7.4,588777
tt0120912,6.2,356400
tt0120913,6.6,60098
tt0120917,7.4,190194
tt0121164,7.3,255239
tt0121765,6.5,666746
tt0121766,7.5,738908
tt0122459,6.9,20503
tt0123003,6.2,1509
tt0123581,4.9,69
tt0124889,5.3,108
tt0125022,6.2,53171
tt0126029,7.9,639519
tt0127349,6.5,7076
tt0128165,4.0,72
tt0130623,6.5,56912
tt0131704,4.2,20013
tt0132078,5.7,236
tt0132245,4.6,40434
tt0132910,4.9,11307
tt0133152,5.7,214826
tt0133240,7.2,109812
tt0134084,5.6,128668
tt0134630,6.1,9435
tt0134847,7.1,231651
tt0134983,4.9,17620
tt0135707,6.4,373
tt0138524,6.2,94669
tt0138681,5.7,1185
tt0138749,6.9,90214
tt0138818,6.4,100
tt0138946,6.4,20713
tt0139388,5.6,1851
tt0139500,7.1,1475
tt0139654,7.7,410049
tt0141120,3.9,358
tt0141399,5.4,2420
tt0141907,4.5,4912
tt0141926,6.6,80381
tt0142634,3.2,656
tt0142650,4.6,262
tt0143558,4.9,65
tt0143861,7.8,2779
tt0144084,7.6,527054
tt0144142,5.1,3800
tt0144528,4.4,49931
tt0144964,4.6,20004
tt0145487,7.3,726791
tt0145937,6.6,5743
tt0146309,7.3,57054
tt0146316,5.8,204101
tt0146592,6.7,506
tt0146882,7.5,173921
tt0146984,6.7,55368
tt0148421,6.5,322
tt0149367,6.3,5989
tt0149624,5.8,14696
tt0150021,4.6,1787
tt0151150,6.2,9877
tt0151372,7.0,343
tt0152083,5.9,82
tt0153100,7.4,41
tt0153140,5.9,199
